device_id,device_name,asset_criticality,sensitivity_score,asset_type,business_unit,os_family,is_internet_exposed,patch_level,days_since_last_patch,nb_vulnerabilities,is_domain_controller,network_zone,last_incident_days_ago,owner_team,account_id,user_name,user_criticality,user_role,department,is_privileged,last_login_days,account_status,MFA_enabled,nb_failed_logins_7d,login_country_mismatch
98799.0,DEMO-TEST-7915,LOW,18,Workstation,Risk,Linux,1.0,Critical-lag,134.0,20.0,0.0,DMZ,145.0,DevOps,,,,,,,,,,,
384.0,CORE-EXCH-7099,CRITICAL,88,Server,Finance,Windows,0.0,Up-to-date,14.0,0.0,0.0,CORP,293.0,Business,,,,,,,,,,,
1677.0,ADMIN-SRV-9625,MEDIUM,45,Laptop,Risk,Linux,0.0,Minor-lag,36.0,13.0,0.0,CORP,85.0,Business,,,,,,,,,,,
32.0,VAULT-AD-3809,CRITICAL,87,Workstation,IT,Windows,0.0,Up-to-date,18.0,3.0,1.0,CORP,95.0,Business,,,,,,,,,,,
4210.0,LAB-VM-5922,LOW,9,Server,Risk,Linux,0.0,Critical-lag,174.0,24.0,0.0,CORP,140.0,IT-OPS,,,,,,,,,,,
0.0,LAB-TEST-7850,LOW,9,Workstation,Finance,Windows,0.0,Minor-lag,88.0,22.0,0.0,CORP,134.0,DevOps,,,,,,,,,,,
71447.0,ADMIN-WS-5734,MEDIUM,45,Server,Finance,Windows,0.0,Minor-lag,66.0,13.0,0.0,CORP,25.0,SOC,,,,,,,,,,,
65779.0,ADMIN-SRV-2308,MEDIUM,41,Server,IT,Windows,0.0,Minor-lag,83.0,6.0,0.0,CORP,517.0,DevOps,,,,,,,,,,,
220.0,OFFICE-SRV-7527,MEDIUM,47,Workstation,Finance,Windows,0.0,Minor-lag,48.0,13.0,0.0,CORP,725.0,SOC,,,,,,,,,,,
26065.0,CORE-AD-3508,CRITICAL,88,Workstation,Finance,Windows,0.0,Up-to-date,12.0,2.0,0.0,ISOLATED,59.0,Business,,,,,,,,,,,
14350.0,TEST-WS-884,LOW,15,Server,IT,Windows,0.0,Minor-lag,62.0,23.0,0.0,CORP,331.0,IT-OPS,,,,,,,,,,,
75723.0,CORE-WEB-1139,HIGH,66,Laptop,Risk,Windows,0.0,Up-to-date,29.0,0.0,0.0,ISOLATED,131.0,IT-OPS,,,,,,,,,,,
90154.0,DEPT-SRV-4982,MEDIUM,44,Workstation,Finance,MacOS,0.0,Minor-lag,50.0,14.0,0.0,CORP,117.0,IT-OPS,,,,,,,,,,,
10197.0,ADMIN-PC-2653,MEDIUM,39,Laptop,Trading,Windows,0.0,Up-to-date,18.0,11.0,0.0,CORP,182.0,Business,,,,,,,,,,,
66.0,DEV-VM-2753,LOW,6,Workstation,IT,Windows,0.0,Critical-lag,121.0,28.0,0.0,CORP,240.0,DevOps,,,,,,,,,,,
12699.0,PROD-EXCH-9642,CRITICAL,88,Server,Finance,MacOS,0.0,Up-to-date,23.0,0.0,1.0,CORP,13.0,SOC,,,,,,,,,,,
442.0,PROD-SQL-117,CRITICAL,89,Laptop,IT,Windows,0.0,Up-to-date,8.0,2.0,1.0,ISOLATED,254.0,Business,,,,,,,,,,,
36330.0,OFFICE-SRV-9975,MEDIUM,37,Laptop,Finance,Windows,1.0,Minor-lag,40.0,9.0,0.0,CORP,119.0,Business,,,,,,,,,,,
16281.0,DEV-TEST-793,LOW,18,Laptop,Finance,MacOS,0.0,Minor-lag,39.0,19.0,0.0,CORP,111.0,Business,,,,,,,,,,,
79.0,DEPT-PC-2375,MEDIUM,39,Workstation,Risk,Windows,0.0,Minor-lag,36.0,8.0,0.0,CORP,237.0,Business,,,,,,,,,,,
51983.0,DEPT-WS-8723,MEDIUM,33,Workstation,IT,MacOS,1.0,Minor-lag,56.0,10.0,0.0,DMZ,17.0,IT-OPS,,,,,,,,,,,
90.0,LAB-TEST-2954,LOW,7,Workstation,Trading,Windows,1.0,Critical-lag,195.0,26.0,0.0,DMZ,328.0,DevOps,,,,,,,,,,,
13054.0,CORE-AD-364,CRITICAL,98,Workstation,Finance,Linux,0.0,Up-to-date,21.0,3.0,0.0,ISOLATED,1.0,Business,,,,,,,,,,,
61339.0,CORE-SQL-4100,HIGH,60,Workstation,Trading,MacOS,1.0,Up-to-date,25.0,9.0,0.0,DMZ,81.0,IT-OPS,,,,,,,,,,,
6512.0,PROD-DC-5496,CRITICAL,82,Server,Finance,Windows,0.0,Up-to-date,14.0,1.0,1.0,ISOLATED,123.0,Business,,,,,,,,,,,
5379.0,PROD-DC-4044,CRITICAL,96,Workstation,Risk,Windows,0.0,Up-to-date,7.0,0.0,0.0,CORP,534.0,IT-OPS,,,,,,,,,,,
7262.0,CORE-WEB-1943,HIGH,79,Laptop,Finance,Windows,0.0,Up-to-date,26.0,8.0,0.0,CORP,28.0,IT-OPS,,,,,,,,,,,
45742.0,TEST-GUEST-2748,LOW,8,Laptop,Risk,Windows,0.0,Minor-lag,67.0,22.0,0.0,CORP,57.0,DevOps,,,,,,,,,,,
77132.0,PROD-EXCH-1002,CRITICAL,95,Server,Trading,Linux,0.0,Up-to-date,11.0,2.0,1.0,CORP,113.0,Business,,,,,,,,,,,
12151.0,VAULT-DC-5582,CRITICAL,90,Workstation,Trading,Linux,0.0,Up-to-date,11.0,0.0,0.0,CORP,54.0,IT-OPS,,,,,,,,,,,
143.0,DEMO-VM-9267,LOW,7,Workstation,Finance,MacOS,0.0,Critical-lag,259.0,24.0,0.0,CORP,319.0,DevOps,,,,,,,,,,,
32901.0,DEPT-WS-308,MEDIUM,44,Workstation,Finance,Windows,1.0,Minor-lag,50.0,10.0,0.0,CORP,85.0,IT-OPS,,,,,,,,,,,
34264.0,TRADE-SQL-5754,HIGH,70,Laptop,Finance,Windows,0.0,Minor-lag,42.0,6.0,0.0,CORP,359.0,Business,,,,,,,,,,,
228.0,CORE-WEB-7115,HIGH,60,Server,Finance,Linux,1.0,Minor-lag,55.0,10.0,0.0,CORP,241.0,SOC,,,,,,,,,,,
65582.0,CORE-WEB-4223,HIGH,76,Laptop,Risk,Linux,0.0,Minor-lag,33.0,7.0,0.0,ISOLATED,625.0,DevOps,,,,,,,,,,,
23924.0,BANK-SQL-4171,HIGH,76,Server,Risk,Windows,0.0,Minor-lag,30.0,5.0,0.0,ISOLATED,291.0,DevOps,,,,,,,,,,,
40599.0,DEPT-PC-2519,MEDIUM,32,Server,Finance,Windows,0.0,Minor-lag,54.0,11.0,0.0,CORP,50.0,DevOps,,,,,,,,,,,
45520.0,ADMIN-SRV-6700,MEDIUM,45,Laptop,IT,Windows,0.0,Minor-lag,52.0,10.0,0.0,CORP,152.0,Business,,,,,,,,,,,
63465.0,DEV-WS-1765,LOW,21,Server,Trading,Windows,1.0,Critical-lag,141.0,29.0,0.0,DMZ,97.0,IT-OPS,,,,,,,,,,,
70219.0,BANK-SRV-9193,HIGH,78,Server,Finance,Linux,1.0,Up-to-date,15.0,7.0,0.0,DMZ,276.0,IT-OPS,,,,,,,,,,,
71470.0,OFFICE-SRV-4908,MEDIUM,49,Server,Trading,Linux,0.0,Minor-lag,77.0,7.0,0.0,CORP,351.0,Business,,,,,,,,,,,
43946.0,DEPT-PC-5372,MEDIUM,33,Server,IT,Windows,0.0,Minor-lag,60.0,8.0,0.0,CORP,346.0,IT-OPS,,,,,,,,,,,
229.0,CORE-WEB-3311,HIGH,69,Laptop,Finance,Windows,0.0,Minor-lag,33.0,6.0,0.0,CORP,421.0,DevOps,,,,,,,,,,,
67988.0,BANK-SQL-2623,HIGH,74,Laptop,Trading,Windows,0.0,Minor-lag,34.0,8.0,0.0,CORP,8.0,SOC,,,,,,,,,,,
8574.0,LAB-GUEST-5886,LOW,7,Server,IT,Linux,0.0,Minor-lag,78.0,21.0,0.0,CORP,352.0,IT-OPS,,,,,,,,,,,
76988.0,DEPT-SRV-2777,MEDIUM,43,Domain Controller,Risk,Windows,0.0,Minor-lag,40.0,11.0,0.0,CORP,50.0,Business,,,,,,,,,,,
5626.0,DEMO-GUEST-5183,LOW,16,Workstation,IT,Linux,0.0,Critical-lag,231.0,26.0,0.0,CORP,190.0,SOC,,,,,,,,,,,
85672.0,TEST-TEST-8536,LOW,19,Workstation,Risk,Linux,0.0,Minor-lag,43.0,18.0,0.0,CORP,128.0,Business,,,,,,,,,,,
79201.0,DEPT-SRV-3065,MEDIUM,49,Server,Finance,Linux,0.0,Minor-lag,48.0,12.0,0.0,CORP,253.0,Business,,,,,,,,,,,
50459.0,DEPT-WS-2054,MEDIUM,30,Server,Finance,Windows,0.0,Minor-lag,43.0,10.0,0.0,CORP,39.0,Business,,,,,,,,,,,
48613.0,ADMIN-PC-8548,MEDIUM,34,Laptop,Finance,Linux,1.0,Minor-lag,79.0,6.0,0.0,DMZ,352.0,Business,,,,,,,,,,,
36085.0,BANK-WEB-7066,HIGH,69,Workstation,IT,Linux,1.0,Minor-lag,32.0,9.0,0.0,CORP,683.0,IT-OPS,,,,,,,,,,,
58918.0,CORE-AD-4768,CRITICAL,83,Domain Controller,Risk,Windows,0.0,Up-to-date,15.0,0.0,1.0,CORP,5.0,DevOps,,,,,,,,,,,
332.0,LAB-GUEST-3230,LOW,14,Workstation,Finance,Windows,1.0,Minor-lag,70.0,23.0,0.0,DMZ,124.0,DevOps,,,,,,,,,,,
208.0,OFFICE-WS-2745,MEDIUM,42,Workstation,Risk,Windows,0.0,Minor-lag,34.0,9.0,0.0,CORP,252.0,SOC,,,,,,,,,,,
290.0,DEPT-WS-9623,MEDIUM,33,Server,IT,Windows,1.0,Minor-lag,85.0,11.0,0.0,DMZ,459.0,IT-OPS,,,,,,,,,,,
75607.0,ADMIN-PC-7774,MEDIUM,36,Server,Trading,Windows,0.0,Critical-lag,109.0,13.0,0.0,CORP,149.0,IT-OPS,,,,,,,,,,,
59035.0,BANK-SQL-8203,HIGH,65,Server,Finance,Windows,1.0,Up-to-date,10.0,0.0,0.0,CORP,351.0,SOC,,,,,,,,,,,
40815.0,DEPT-SRV-2399,MEDIUM,43,Laptop,IT,Windows,0.0,Minor-lag,68.0,10.0,0.0,CORP,53.0,DevOps,,,,,,,,,,,
83060.0,LAB-GUEST-3182,LOW,16,Laptop,IT,Windows,1.0,Critical-lag,244.0,28.0,0.0,DMZ,239.0,Business,,,,,,,,,,,
77993.0,BANK-SQL-115,HIGH,69,Workstation,Risk,Windows,0.0,Up-to-date,20.0,6.0,0.0,CORP,35.0,IT-OPS,,,,,,,,,,,
