sha256,sandbox_verdict,malware_score,network_connections,dropped_files,registry_modifications,process_injections,c2_beaconing,evasion_detected,persistence_mechanism,lateral_movement_attempt,privilege_escalation,dns_requests_count,analysis_duration_s
138268,Clean,11,0,0,0,0,0,0,0,0,0,4,186
1092,Malicious,78,17,2,3,0,0,0,0,1,0,489,282
2107,Suspicious,24,25,0,4,0,0,0,0,0,0,69,211
12305,Malicious,51,24,4,3,1,1,0,0,0,0,13,191
28659,Suspicious,21,27,0,6,0,0,0,0,0,0,16,78
32389,Malicious,58,19,4,14,0,0,1,1,0,1,261,164
25,Suspicious,30,12,0,4,0,0,0,0,0,0,72,223
2,Clean,3,1,0,0,0,0,0,0,1,0,15,173
9359,Clean,14,0,0,0,0,0,0,0,0,0,14,87
79047,Clean,14,1,0,0,0,0,0,0,0,0,11,195
13729,Clean,19,2,0,0,0,0,0,0,0,0,11,111
1881,Suspicious,28,12,0,13,0,0,0,0,0,0,69,130
104049,Clean,20,1,0,0,0,0,0,0,0,0,8,160
10,Clean,12,2,0,0,0,0,0,1,0,0,16,170
25681,Clean,1,1,0,0,0,0,0,0,0,0,9,99
885,Clean,3,1,0,0,0,0,0,0,0,0,7,88
174,Suspicious,27,29,0,4,0,0,0,0,0,0,62,246
1162,Clean,13,2,0,0,0,0,0,0,0,0,8,90
26741,Suspicious,29,16,0,12,0,0,0,0,0,0,39,64
28950,Malicious,43,7,4,9,1,1,0,1,0,0,391,80
229,Suspicious,38,19,0,12,0,0,0,0,0,0,18,100
36208,Malicious,64,5,1,14,1,0,0,1,1,0,182,75
38266,Clean,0,1,0,0,0,0,0,0,0,0,1,173
4206,Malicious,59,5,2,12,0,1,1,1,0,0,178,132
0,Suspicious,31,23,0,11,0,0,0,0,0,0,46,285
1500,Suspicious,32,8,0,8,0,0,0,0,0,1,62,191
102093,Clean,1,1,0,0,0,0,0,0,0,0,7,129
111132,Malicious,84,6,2,7,0,0,0,1,0,1,289,81
130431,Malicious,95,5,4,5,1,1,0,0,0,1,386,218
3242,Malicious,72,8,1,12,1,1,0,1,0,1,64,148
1210,Suspicious,21,13,0,14,0,0,0,0,0,0,49,179
713,Clean,11,0,0,0,0,0,0,1,0,0,10,222
37105,Suspicious,40,9,0,13,0,0,0,0,0,0,36,252
97990,Suspicious,27,28,0,2,0,0,0,0,0,0,47,155
92,Suspicious,32,12,0,14,0,0,0,0,0,0,44,281
617,Suspicious,34,8,0,11,0,0,1,0,0,0,59,160
12789,Suspicious,28,16,0,9,0,0,0,0,0,0,37,248
91,Clean,0,0,0,0,0,0,1,0,0,0,9,140
191,Suspicious,29,7,0,6,0,0,0,0,0,0,44,282
7,Malicious,66,11,2,14,0,1,0,0,0,1,241,239
657,Malicious,97,12,5,3,0,1,1,1,1,0,193,97
22,Malicious,48,9,1,12,0,0,0,0,1,0,5,72
1496,Clean,16,2,0,0,0,0,0,0,0,0,15,188
61,Clean,15,2,0,0,0,0,0,0,0,0,0,159
6025,Suspicious,21,25,0,2,0,0,1,0,0,0,11,72
1315,Malicious,73,29,2,12,0,0,0,1,0,0,157,207
13,Malicious,54,25,3,11,0,1,1,1,0,0,400,152
416,Suspicious,21,14,0,8,0,0,0,0,0,0,30,147
4726,Suspicious,32,28,0,10,0,0,0,0,0,0,64,279
130540,Malicious,66,21,2,12,0,0,0,1,0,0,270,77
949,Malicious,41,27,1,14,1,0,0,1,0,0,179,207
5,Malicious,59,25,3,9,0,0,1,0,1,0,126,283
63,Suspicious,26,9,0,3,0,0,0,0,0,0,75,91
38328,Malicious,55,28,4,8,0,0,0,0,0,0,11,178
4116,Malicious,70,15,5,11,0,1,1,1,1,0,377,237
139,Clean,0,0,0,0,0,0,0,0,0,0,17,97
21,Suspicious,30,23,0,3,0,0,0,0,0,0,14,192
13844,Suspicious,25,29,0,1,0,0,0,0,0,0,53,232
48144,Suspicious,26,8,0,7,0,0,0,0,0,0,14,201
10101,Clean,17,0,0,0,0,0,0,1,0,0,8,292
12234,Suspicious,38,18,0,2,0,0,0,0,0,0,39,153
24801,Clean,18,1,0,0,0,0,0,0,0,0,19,299
167,Clean,13,0,0,0,0,0,0,0,0,0,17,119
3,Clean,13,0,0,0,0,0,0,0,0,0,4,217
62311,Suspicious,29,25,0,14,0,0,1,1,0,0,78,117
97274,Clean,6,2,0,0,0,0,0,1,0,0,2,263
4580,Clean,0,2,0,0,0,0,0,0,0,0,13,181
72969,Malicious,52,23,1,3,1,0,0,0,0,1,415,185
1673,Clean,16,0,0,0,0,0,0,1,0,1,19,272
18891,Malicious,79,29,3,7,0,0,0,1,1,1,219,269
460,Suspicious,32,18,0,10,0,0,0,0,0,0,47,121
