ioc_value,ioc_type,ti_score,ti_reputation,in_blocklist,nb_sources_flagging,ti_confidence,ti_first_seen_days_ago,ti_last_seen_days_ago,ti_trend,threat_categories,geo_country,actor_type,nb_campaigns
25,ip,82,malicious,1,3,0.71,1033,45,stable,Ransomware,US,unknown,1
41,ip,85,malicious,1,4,0.85,2462,120,stable,Scanner,CN,unknown,1
57,ip,86,malicious,1,4,0.93,2845,92,stable,Malware-C2,BR,APT,3
59,ip,73,malicious,1,2,0.44,898,177,stable,Phishing,IR,APT,1
69,ip,78,malicious,1,3,0.43,3276,125,increasing,Scanner,KP,APT,4
109,ip,85,malicious,1,3,0.87,409,29,stable,Malware-C2,US,APT,2
152,ip,67,suspicious,1,4,0.86,1933,46,stable,Phishing,US,cybercrime,3
155,ip,72,malicious,1,4,0.91,1207,86,stable,Malware-C2,FR,cybercrime,2
166,ip,80,malicious,1,3,0.91,327,1,increasing,Scanner,RU,APT,2
193,ip,62,suspicious,1,2,0.72,2077,123,increasing,Scanner,BR,cybercrime,1
230,ip,94,malicious,1,5,0.87,1062,45,decreasing,Phishing,DE,APT,5
270,ip,94,malicious,1,5,0.58,2968,98,stable,Ransomware,CN,cybercrime,3
273,ip,85,malicious,1,3,0.42,2686,62,increasing,Ransomware,FR,cybercrime,5
367,ip,93,malicious,1,5,0.89,1157,26,increasing,Phishing,RU,cybercrime,1
385,ip,71,malicious,1,3,0.95,967,0,increasing,Phishing,DE,APT,4
431,ip,80,malicious,1,5,0.88,1514,96,stable,Malware-C2,RU,unknown,1
442,ip,69,suspicious,1,3,0.86,2422,34,stable,Malware-C2,CN,cybercrime,2
448,ip,88,malicious,1,4,0.7,1917,71,stable,Phishing,DE,cybercrime,4
455,ip,78,malicious,1,4,0.63,3373,92,increasing,Malware-C2,US,unknown,1
527,ip,75,malicious,1,4,0.62,3247,28,increasing,Ransomware,BR,APT,4
543,ip,76,malicious,1,4,0.9,889,38,stable,Scanner,BR,APT,5
544,ip,80,malicious,1,3,0.8,2707,96,stable,Ransomware,RU,cybercrime,4
574,ip,76,malicious,1,4,0.45,2913,0,stable,Botnet,RU,unknown,1
587,ip,95,malicious,1,5,0.89,2294,71,stable,Botnet,DE,cybercrime,5
592,ip,74,malicious,1,3,0.66,3414,12,stable,Malware-C2,KP,cybercrime,4
768,ip,80,malicious,1,5,0.59,86,171,increasing,Malware-C2,NL,APT,2
798,ip,80,malicious,1,4,0.5,737,86,stable,Phishing,CN,cybercrime,1
864,ip,82,malicious,1,5,0.76,2458,89,increasing,Botnet,CN,cybercrime,1
896,ip,79,malicious,1,2,0.9,384,177,decreasing,Botnet,RU,unknown,1
1062,ip,82,malicious,1,3,0.45,2018,146,stable,Scanner,US,cybercrime,5
