top_category,category_tp_rate,category_bp_rate,category_fp_rate
Collection,0.078125,0.71875,0.203125
CommandAndControl,0.13571219654869845,0.7733255337818076,0.090962269669494
CredentialAccess,0.2796271637816245,0.49001331557922767,0.2303595206391478
CredentialStealing,0.0,0.0,1.0
DefenseEvasion,0.323943661971831,0.3732394366197183,0.3028169014084507
Discovery,0.12386706948640483,0.7371601208459214,0.13897280966767372
Execution,0.15029208709506106,0.33722782793414763,0.5124800849707913
Exfiltration,0.07453726863431716,0.6053026513256629,0.32016008004002
Exploit,0.07142857142857142,0.5,0.42857142857142855
Impact,0.16612377850162866,0.6710097719869706,0.16286644951140064
InitialAccess,0.23390051290401367,0.3113245949686559,0.45477489212733047
LateralMovement,0.07878787878787878,0.6363636363636364,0.28484848484848485
Malware,0.29148936170212764,0.4148936170212766,0.2936170212765957
Persistence,0.05952380952380952,0.6964285714285714,0.24404761904761904
PrivilegeEscalation,0.0,0.8064516129032258,0.1935483870967742
Ransomware,0.25,0.7222222222222222,0.027777777777777776
SuspiciousActivity,0.3679373723621511,0.4952348536419333,0.13682777399591559
UnwantedSoftware,0.22950819672131148,0.7213114754098361,0.04918032786885246
