top_detector,detector_tp_rate,detector_bp_rate,detector_fp_rate,detector_nb_incidents
0,0.12088930060213061,0.04377026401111626,0.8353404353867532,4318
1,0.3532576210400478,0.5511057979677226,0.09563658099222953,1673
2,0.13644859813084112,0.7738317757009345,0.08971962616822429,3210
3,0.24777636594663277,0.7083862770012707,0.04383735705209657,1574
4,0.3360323886639676,0.06072874493927125,0.6032388663967612,741
5,0.4939981532779317,0.39581409664512157,0.11018775007694676,3249
6,0.2625523012552301,0.5073221757322176,0.2301255230125523,956
7,0.7044534412955465,0.12955465587044535,0.1659919028340081,247
8,0.0,0.07692307692307693,0.9230769230769231,13
9,0.1546925566343042,0.26019417475728157,0.5851132686084143,1545
10,0.26277372262773724,0.6909975669099757,0.046228710462287104,411
11,0.2314410480349345,0.6244541484716157,0.14410480349344978,229
13,0.3373860182370821,0.5957446808510638,0.0668693009118541,329
14,0.7108433734939759,0.1144578313253012,0.1746987951807229,166
15,0.0,1.0,0.0,57
16,0.0,1.0,0.0,13
17,0.0,1.0,0.0,23
18,0.0,1.0,0.0,45
19,0.12167300380228137,0.024714828897338403,0.8536121673003803,526
20,0.0,0.0,1.0,216
22,0.16666666666666666,0.0,0.8333333333333334,12
23,0.3333333333333333,0.6666666666666666,0.0,15
24,0.0028011204481792717,0.9971988795518207,0.0,357
25,0.21548117154811716,0.5648535564853556,0.2196652719665272,478
27,0.16,0.48,0.36,25
28,0.23157894736842105,0.5473684210526316,0.22105263157894736,95
29,1.0,0.0,0.0,13
30,0.0,1.0,0.0,21
31,0.26595744680851063,0.2872340425531915,0.44680851063829785,188
32,1.0,0.0,0.0,167
33,0.14335060449050085,0.6925734024179621,0.16407599309153714,579
34,0.0,1.0,0.0,43
35,0.2153846153846154,0.5384615384615384,0.24615384615384617,130
36,0.11049723756906077,0.5303867403314917,0.35911602209944754,181
37,0.0,0.16326530612244897,0.8367346938775511,147
38,0.0,1.0,0.0,13
39,0.0,1.0,0.0,121
40,0.0,0.7,0.3,10
42,0.0,1.0,0.0,27
43,0.125,0.5625,0.3125,32
44,0.23529411764705882,0.6568627450980392,0.10784313725490197,102
45,0.0,1.0,0.0,39
46,0.0,1.0,0.0,102
47,0.3620689655172414,0.29310344827586204,0.3448275862068966,116
50,0.0,1.0,0.0,20
52,0.0,1.0,0.0,16
55,0.0,1.0,0.0,202
56,0.030303030303030304,0.06060606060606061,0.9090909090909091,33
58,0.0,0.034482758620689655,0.9655172413793104,29
60,0.0,1.0,0.0,109
64,0.1,0.8,0.1,10
65,0.0,1.0,0.0,75
66,0.5263157894736842,0.3157894736842105,0.15789473684210525,38
67,0.0,1.0,0.0,12
68,1.0,0.0,0.0,50
69,0.11864406779661017,0.8813559322033898,0.0,59
70,0.0,0.0,1.0,17
71,0.0,0.07692307692307693,0.9230769230769231,13
72,0.0,1.0,0.0,12
73,0.3302752293577982,0.30275229357798167,0.3669724770642202,109
74,0.0,1.0,0.0,33
75,0.0,1.0,0.0,49
76,0.0,0.0,1.0,222
78,0.0,1.0,0.0,21
80,0.0,0.008695652173913044,0.991304347826087,115
81,0.11851851851851852,0.8222222222222222,0.05925925925925926,135
82,0.9459459459459459,0.05405405405405406,0.0,37
83,0.0,1.0,0.0,13
84,0.0,1.0,0.0,22
86,0.0,1.0,0.0,87
87,0.2,0.36,0.44,25
88,0.0,1.0,0.0,12
89,0.0,1.0,0.0,20
91,0.05555555555555555,0.4444444444444444,0.5,18
92,0.06666666666666667,0.9333333333333333,0.0,15
93,0.0,1.0,0.0,27
96,0.0,1.0,0.0,55
99,0.0,1.0,0.0,16
100,0.23214285714285715,0.4017857142857143,0.36607142857142855,112
101,0.0,1.0,0.0,11
102,0.0,1.0,0.0,108
104,0.0,1.0,0.0,17
107,0.6,0.17142857142857143,0.22857142857142856,35
110,0.9912280701754386,0.0,0.008771929824561403,114
112,0.0,0.0,1.0,58
113,0.0,1.0,0.0,11
114,0.07692307692307693,0.38461538461538464,0.5384615384615384,13
115,0.0,1.0,0.0,19
118,0.2558139534883721,0.6046511627906976,0.13953488372093023,86
121,0.08695652173913043,0.6956521739130435,0.21739130434782608,23
122,0.0,1.0,0.0,27
123,0.0,0.0,1.0,70
129,0.0,0.0,1.0,40
130,1.0,0.0,0.0,39
131,0.0,1.0,0.0,10
132,0.0,1.0,0.0,10
133,0.4722222222222222,0.3611111111111111,0.16666666666666666,36
136,0.0,0.0,1.0,59
137,0.0,1.0,0.0,16
138,0.4,0.4,0.2,10
141,0.5,0.125,0.375,16
147,0.0,0.13636363636363635,0.8636363636363636,22
151,0.0,0.0,1.0,14
152,0.42105263157894735,0.2807017543859649,0.2982456140350877,57
154,0.3508771929824561,0.6491228070175439,0.0,57
156,0.0,1.0,0.0,29
160,0.38461538461538464,0.2692307692307692,0.34615384615384615,26
163,0.5,0.42857142857142855,0.07142857142857142,14
166,0.2857142857142857,0.5,0.21428571428571427,14
167,0.0,1.0,0.0,62
170,0.0,0.058823529411764705,0.9411764705882353,17
172,0.3888888888888889,0.6111111111111112,0.0,18
173,0.0,0.0,1.0,22
176,0.36363636363636365,0.5454545454545454,0.09090909090909091,11
178,0.0,0.0,1.0,12
180,0.0,1.0,0.0,18
181,0.0,0.0,1.0,23
182,0.2835820895522388,0.2537313432835821,0.4626865671641791,67
187,0.0,1.0,0.0,48
189,0.0,1.0,0.0,17
192,0.0,0.1,0.9,10
193,0.8823529411764706,0.058823529411764705,0.058823529411764705,17
195,0.7142857142857143,0.14285714285714285,0.14285714285714285,14
196,0.3,0.5,0.2,20
198,0.0,1.0,0.0,14
202,0.0,1.0,0.0,21
215,0.0,1.0,0.0,10
216,0.0,0.0,1.0,19
217,0.8823529411764706,0.11764705882352941,0.0,17
219,0.125,0.3125,0.5625,16
220,0.0,1.0,0.0,23
225,0.45454545454545453,0.18181818181818182,0.36363636363636365,11
231,0.0,1.0,0.0,13
235,0.8181818181818182,0.0,0.18181818181818182,11
236,0.09090909090909091,0.8181818181818182,0.09090909090909091,11
237,0.0,0.18181818181818182,0.8181818181818182,22
238,0.0,1.0,0.0,14
240,0.0,0.9130434782608695,0.08695652173913043,23
241,0.0,1.0,0.0,20
242,0.0,1.0,0.0,22
244,0.0,0.21052631578947367,0.7894736842105263,19
245,0.0,1.0,0.0,13
248,0.0,1.0,0.0,23
250,0.1111111111111111,0.8888888888888888,0.0,27
252,0.21428571428571427,0.42857142857142855,0.35714285714285715,14
254,1.0,0.0,0.0,18
255,0.1,0.3,0.6,10
261,0.1111111111111111,0.3888888888888889,0.5,18
264,0.0,1.0,0.0,14
271,0.0,0.7058823529411765,0.29411764705882354,17
280,0.0,0.0,1.0,20
284,0.0,1.0,0.0,11
285,0.0,1.0,0.0,14
288,0.0,1.0,0.0,11
292,0.47368421052631576,0.3684210526315789,0.15789473684210525,19
294,0.0,1.0,0.0,64
295,0.0,1.0,0.0,10
297,0.0,0.9166666666666666,0.08333333333333333,12
305,0.0,0.0,1.0,17
309,0.18181818181818182,0.0,0.8181818181818182,11
311,0.3953488372093023,0.4418604651162791,0.16279069767441862,43
316,0.0,1.0,0.0,19
318,0.0,1.0,0.0,12
328,0.0,0.0,1.0,15
330,0.6,0.2,0.2,10
354,0.0,1.0,0.0,10
355,0.0,0.0,1.0,13
361,0.5714285714285714,0.42857142857142855,0.0,14
364,0.0,0.6666666666666666,0.3333333333333333,12
365,0.0,0.7857142857142857,0.21428571428571427,14
367,0.0,1.0,0.0,15
368,0.0,1.0,0.0,13
374,0.0,0.0,1.0,15
391,0.0,0.7368421052631579,0.2631578947368421,19
402,0.02702702702702703,0.9459459459459459,0.02702702702702703,37
404,0.0,0.0,1.0,14
413,0.0,0.0,1.0,10
414,0.09090909090909091,0.09090909090909091,0.8181818181818182,11
416,0.0,1.0,0.0,12
419,0.0,0.8,0.2,10
422,0.0,0.0,1.0,15
426,0.6363636363636364,0.18181818181818182,0.18181818181818182,11
436,0.3333333333333333,0.16666666666666666,0.5,12
438,0.0,1.0,0.0,29
443,0.07142857142857142,0.0,0.9285714285714286,14
455,0.7894736842105263,0.21052631578947367,0.0,19
456,0.0,1.0,0.0,23
460,0.0,1.0,0.0,12
461,0.0,1.0,0.0,14
465,0.0,1.0,0.0,16
466,0.09523809523809523,0.7142857142857143,0.19047619047619047,21
469,0.03333333333333333,0.9333333333333333,0.03333333333333333,30
489,0.4,0.4666666666666667,0.13333333333333333,15
500,0.0,1.0,0.0,11
516,0.0,1.0,0.0,13
532,0.0,0.0,1.0,10
541,0.5,0.2,0.3,10
542,0.5384615384615384,0.15384615384615385,0.3076923076923077,13
549,0.0,1.0,0.0,12
554,0.0,1.0,0.0,13
616,0.0,1.0,0.0,30
645,0.0,1.0,0.0,14
663,0.05,0.55,0.4,20
746,0.0,1.0,0.0,14
873,0.0,1.0,0.0,11
1025,0.0,1.0,0.0,12
1115,0.08333333333333333,0.9166666666666666,0.0,12
