IncidentId,OrgId,IncidentGrade,first_seen,last_seen,nb_alerts,nb_evidences,nb_categories,top_category,mitre_techniques,nb_detectors,top_detector,top_alert_title,nb_entity_types,has_ip,has_file,has_account,has_device,has_email,sample_ip,sample_sha256,sample_filename,sample_device,sample_account,country,max_suspicion,os_family,threat_family,last_verdict,incident_duration_minutes,hour_of_day,day_of_week,is_weekend,is_business_hours
14,89,TruePositive,2024-06-11 10:05:48+00:00,2024-06-15 15:39:11+00:00,369,10228,4,InitialAccess,T1566.002|T1078;T1078.004|T1566|T1534|T1110;T1110.003;T1110.001,15,1,1,10,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,6093,10,1,0,1
73,5,TruePositive,2024-06-03 09:48:04+00:00,2024-06-09 06:46:28+00:00,2847,10002,5,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001|T1557;T1110;T1212;T1539|T1110;T1110.003|T1534,12,0,0,8,1,1,1,1,1,360606,138268,289573,153085,20,242,Unknown,5,,Suspicious,8458,9,0,0,1
99,0,TruePositive,2024-06-10 09:05:38+00:00,2024-06-13 06:27:07+00:00,2955,10000,4,InitialAccess,T1110;T1110.003;T1110.001|T1078;T1078.004|T1078.004|T1110;T1110.003|T1070.008,10,0,0,6,1,1,1,1,1,0,138268,289573,153085,453297,2,Unknown,5,,Unknown,4161,9,0,0,1
196,0,TruePositive,2024-06-03 06:43:19+00:00,2024-06-06 05:56:58+00:00,2857,9780,2,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001|T1110.004;T1110.003|T1110;T1110.003|T1589;T1589.001,8,0,0,5,1,1,1,1,1,360606,138268,289573,153085,2843,242,Unknown,5,,Malicious,4273,6,0,0,0
210,66,TruePositive,2024-06-16 23:05:03+00:00,2024-06-16 23:05:03+00:00,1,3,1,SuspiciousActivity,,1,5,34,3,1,1,1,1,1,360606,138268,289573,153085,239,242,Unknown,5,,Unknown,0,23,6,1,0
239,0,TruePositive,2024-06-05 22:43:30+00:00,2024-06-08 11:58:53+00:00,2533,8898,2,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004|T1110;T1110.003,7,0,0,6,1,1,1,1,1,198,138268,289573,153085,453297,1,Unknown,5,,Unknown,3675,22,2,0,0
331,23,FalsePositive,2024-06-03 15:23:57+00:00,2024-06-16 11:58:47+00:00,1313,5644,14,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001|T1204.001|T1053;T1053.005|T1059.001;T1059.005;T1059.007,52,0,0,11,1,1,1,1,1,7087,138268,289573,153085,453297,16,Suspicious,5,OfferCore,Suspicious,18514,15,0,0,1
337,22,TruePositive,2024-06-08 02:30:06+00:00,2024-06-11 19:08:46+00:00,1534,5517,4,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001|T1534|T1557;T1110;T1212;T1539,11,0,0,8,1,1,1,1,1,416,138268,289573,153085,453297,3,Unknown,5,,Suspicious,5318,2,5,1,0
372,28,TruePositive,2024-06-05 17:24:06+00:00,2024-06-14 12:07:07+00:00,1024,4832,2,Malware,,2,175,143,6,1,1,1,1,1,10822,138268,289573,153085,453297,242,Unknown,5,,Unknown,12643,17,2,0,1
425,25,BenignPositive,2024-06-10 19:02:27+00:00,2024-06-12 18:23:51+00:00,321,3933,1,Exfiltration,,2,30,1537,2,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,2841,19,0,0,0
498,126,BenignPositive,2024-06-07 06:05:59+00:00,2024-06-12 10:37:13+00:00,137,2854,6,Discovery,T1046|T1570;T1021.002|T1001;T1006;T1008;T1021;T1027;T1036;T1047;T1053;T1055;T1059;T1070;T1071;T1072;T1078;T1090;T1091;T1092;T1095;T1102;T1104;T1105;T1106;T1112;T1127;T1129;T1132;T1134;T1140;T1197;T1202;T1203;T1204;T1205;T1207;T1210;T1211;T1216;T1218;T1219;T1220;T1221;T1484;T1497;T1542;T1548;T1550;T1553;T1556;T1559;T1562;T1563;T1564;T1568;T1569;T1571;T1572;T1574;T1600;T1601;T1610;T1612|T1569.002|T1021.002;T1078;T1078.002;T1105;T1570,8,185,122,7,1,1,1,1,1,2489,138268,289573,153085,453297,242,Suspicious,5,uTorrent,Suspicious,7471,6,4,0,0
539,39,BenignPositive,2024-06-14 11:45:17+00:00,2024-06-15 05:39:57+00:00,196,2463,1,InitialAccess,T1566,1,6,5,6,1,1,1,1,1,360606,29,27,153085,453297,242,Unknown,5,,NoThreatsFound,1074,11,4,0,1
572,95,TruePositive,2024-05-25 20:03:06+00:00,2024-06-05 10:34:37+00:00,44,2236,3,Impact,,4,106,79,6,1,1,1,1,1,360606,138268,289573,153085,6287,242,Unknown,5,,Unknown,15271,20,5,1,0
590,122,FalsePositive,2024-06-06 13:13:49+00:00,2024-06-10 23:36:34+00:00,3,10,3,SuspiciousActivity,,3,3,4,9,1,1,1,1,1,389,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,6382,13,3,0,1
617,0,TruePositive,2024-06-02 16:16:36+00:00,2024-06-04 18:54:12+00:00,598,1989,2,InitialAccess,T1078;T1078.004|T1110;T1110.003;T1110.001,5,0,0,4,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,3037,16,6,1,1
640,65,FalsePositive,2024-06-13 22:50:41+00:00,2024-06-13 22:55:10+00:00,2,10,1,CommandAndControl,,1,2,2,4,1,1,1,1,1,360606,138268,289573,153085,215630,242,Suspicious,5,,Suspicious,4,22,3,0,0
659,0,TruePositive,2024-06-06 03:36:17+00:00,2024-06-07 17:09:59+00:00,525,1792,1,InitialAccess,T1078;T1078.004,4,0,0,4,1,1,1,1,1,360606,138268,289573,153085,4464,242,Unknown,5,,Unknown,2253,3,3,0,0
663,19,BenignPositive,2024-05-27 01:31:10+00:00,2024-06-04 23:56:05+00:00,11,1764,2,CommandAndControl,,3,23,16,5,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,12864,1,0,0,0
742,43,BenignPositive,2024-05-23 16:53:23+00:00,2024-06-11 16:45:48+00:00,22,1495,2,Impact,,3,52,10,5,1,1,1,1,1,122,138268,289573,153085,453297,242,Unknown,5,,Unknown,27352,16,3,0,1
760,40,BenignPositive,2024-06-07 17:20:42+00:00,2024-06-16 02:45:29+00:00,276,1446,3,CredentialAccess,,3,36,100,5,1,1,1,1,1,360606,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,12084,17,4,0,1
817,132,BenignPositive,2024-06-05 14:37:42+00:00,2024-06-15 15:26:38+00:00,163,1289,3,InitialAccess,T1566|T1110;T1110.003;T1110.001,5,13,11,8,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Malicious,14448,14,2,0,1
821,47,FalsePositive,2024-05-20 15:58:53+00:00,2024-06-13 03:09:41+00:00,27,1249,5,CommandAndControl,T1046;T1071;T1210|T1566.002|T1566|T1110|T1078,9,57,29,10,1,1,1,1,1,360606,138268,289573,153085,453297,242,Suspicious,5,,NoThreatsFound,33790,15,0,0,1
