IncidentId,OrgId,IncidentGrade,nb_alerts,nb_evidences,top_alert_title,top_category,top_detector,mitre_techniques,first_seen,last_seen,sample_ip,sample_sha256,sample_device_id,sample_device,sample_account,os_family,max_suspicion,country,last_verdict,threat_family,os_version_sample,antispam_direction,action_grouped,top_action_granular,nb_categories,nb_detectors,nb_entity_types,nb_unique_ips,nb_unique_devices,nb_unique_accounts,has_ip,has_account,has_device,has_file,has_email,has_impacted_entity,nb_impacted_entities,has_registry_activity,has_oauth_app,has_url,has_cloud_resource,nb_action_types,incident_duration_minutes,hour_of_day,day_of_week,is_weekend,is_business_hours,is_after_midnight,alerts_per_min,nb_multi_entity_score,multi_entity,nb_mitre_techniques,max_suspicion_num,os_eol,is_outbound_spam
9,93,FalsePositive,48,11656,18,Discovery,27,T1087;T1087.002|T1110;T1110.001;T1110.003|T1046|T1078;T1078.004,2024-06-11 16:12:43+00:00,2024-06-16 04:40:25+00:00,360606,138268,98799,153085,271373,5,Suspicious,242,Suspicious,,66,,,,4,4,3,2,2,678,1,1,1,1,1,1,654,1,1,1,0,0,6507.7,16,1,0,1,0,0.007374744572648916,3,1,4,0.0,0,0
26,119,FalsePositive,2077,10047,19,InitialAccess,28,T1566,2024-06-14 02:26:59+00:00,2024-06-15 11:28:11+00:00,360606,138268,98799,153085,632,5,,242,NoThreatsFound,,66,Inbound,,,1,2,5,4,1,38,1,1,1,1,1,1,223,1,1,1,0,0,1981.2,2,4,0,0,1,1.0478256482695993,2,1,1,0.0,0,0
29,5,TruePositive,9343,10037,0,InitialAccess,0,T1078;T1078.004|T1078.004|T1534|T1557;T1110;T1212;T1539|T1110;T1110.003;T1110.001|T1110;T1110.003|T1534;T1114;T1564;T1070|T1589;T1589.001|T1070.008,2024-06-02 16:19:35+00:00,2024-06-06 21:16:50+00:00,207350,138268,98799,153085,453297,5,,242,Suspicious,,66,Outbound,ContainAccount,change user password.,5,13,8,163,1,46,1,1,1,1,1,1,172,1,1,1,0,1,6057.25,16,6,1,1,0,1.5421945281228078,2,1,9,0.0,0,1
57,2572,FalsePositive,4,4,0,InitialAccess,0,T1078;T1078.004,2024-06-10 08:21:48+00:00,2024-06-10 08:21:48+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.0,8,0,0,1,0,4.0,0,0,1,0.0,0,0
62,1,TruePositive,9345,10008,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1566,2024-06-07 09:38:12+00:00,2024-06-13 18:22:40+00:00,360606,138268,98799,153085,253,5,,242,NoThreatsFound,,66,Inbound,,,2,6,6,140,1,142,1,1,1,1,1,1,173,1,1,1,0,0,9164.466666666667,9,4,0,1,0,1.0195880187951878,2,1,3,0.0,0,0
70,72,TruePositive,9364,10003,0,InitialAccess,0,T1078;T1078.004|T1110.004;T1110.003|T1110;T1110.003;T1110.001|T1110;T1110.003|T1078.004|T1566,2024-06-05 14:57:44+00:00,2024-06-09 19:58:55+00:00,360606,138268,98799,153085,14163,5,,242,Malicious,,66,Inbound,,,4,9,6,146,1,123,1,1,1,1,1,1,181,1,1,1,0,0,6061.183333333333,14,2,0,1,0,1.5446580027547832,2,1,6,0.0,0,0
92,0,TruePositive,9296,10000,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001,2024-06-05 00:30:00+00:00,2024-06-09 09:06:49+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,2,5,4,97,1,159,1,1,1,1,1,1,172,1,1,1,0,0,6276.816666666667,0,2,0,0,1,1.4807695881529939,2,1,2,0.0,0,0
104,25,BenignPositive,6704,10000,4546,Exfiltration,30,,2024-06-05 18:37:04+00:00,2024-06-08 05:24:53+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,1,3,3,1,1,88,1,1,1,1,1,1,563,1,1,1,0,0,3527.8166666666666,18,2,0,1,0,1.899786991862239,1,0,0,0.0,0,0
120,0,TruePositive,9379,9999,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004,2024-06-10 18:29:21+00:00,2024-06-14 11:49:50+00:00,3886,138268,98799,153085,453297,5,,5,,,66,,,,2,6,5,122,1,160,1,1,1,1,1,1,181,1,1,1,0,0,5360.483333333334,18,0,0,1,0,1.7493293211766643,2,1,3,0.0,0,0
157,90,TruePositive,9409,9979,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1589;T1589.001,2024-06-01 06:37:52+00:00,2024-06-05 18:39:13+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,2,6,4,154,1,118,1,1,1,1,1,1,191,1,1,1,0,0,6481.35,6,5,1,0,0,1.451479787422771,2,1,3,0.0,0,0
